Iteration	CPUTime	PhysTime	Travels
110	160	0	1.53465023
111	161	0	1.5486016
112	162	0	1.56255296
113	164	0	1.57650433
114	165	0	1.5904557
115	166	0	1.60440706
116	168	0	1.61835843
117	169	0	1.63230979
118	170	0	1.64626116
119	172	0	1.66021252
120	173	0	1.67416389
121	174	0	1.68811526
122	176	0	1.70206662
123	177	0	1.71601799
124	178	0	1.72996935
125	180	0	1.74392072
126	181	0	1.75787208
127	183	0	1.77182345
128	184	0	1.78577482
129	185	0	1.79972618
130	187	0	1.81367755
131	188	0	1.82762891
132	189	0	1.84158028
133	191	0	1.85553164
134	192	0	1.86948301
135	193	0	1.88343438
136	195	0	1.89738574
137	196	0	1.91133711
138	197	0	1.92528847
139	199	0	1.93923984
140	200	0	1.95319121
141	201	0	1.96714257
142	203	0	1.98109394
143	204	0	1.9950453
144	206	0	2.00899667
145	207	0	2.02294803
146	208	0	2.0368994
147	210	0	2.05085077
148	211	0	2.06480213
149	212	0	2.0787535
150	214	0	2.09270486
151	215	0	2.10665623
152	216	0	2.12060759
153	218	0	2.13455896
154	219	0	2.14851033
155	220	0	2.16246169
156	222	0	2.17641306
157	223	0	2.19036442
158	224	0	2.20431579
159	226	0	2.21826715
160	227	0	2.23221852
161	229	0	2.24616989
162	230	0	2.26012125
163	231	0	2.27407262
164	233	0	2.28802398
165	234	0	2.30197535
166	235	0	2.31592671
167	237	0	2.32987808
168	238	0	2.34382945
169	239	0	2.35778081
170	241	0	2.37173218
171	242	0	2.38568354
172	243	0	2.39963491
173	245	0	2.41358627
174	246	0	2.42753764
175	248	0	2.44148901
176	249	0	2.45544037
177	250	0	2.46939174
178	252	0	2.4833431
179	253	0	2.49729447
180	254	0	2.51124584
181	256	0	2.5251972
182	257	0	2.53914857
183	258	0	2.55309993
184	260	0	2.5670513
185	261	0	2.58100266
186	263	0	2.59495403
187	264	0	2.6089054
188	265	0	2.62285676
189	267	0	2.63680813
190	268	0	2.65075949
191	269	0	2.66471086
192	271	0	2.67866222
193	272	0	2.69261359
194	274	0	2.70656496
195	275	0	2.72051632
196	276	0	2.73446769
197	278	0	2.74841905
198	279	0	2.76237042
199	280	0	2.77632178
200	282	0	2.79027315
201	283	0	2.80422452
202	285	0	2.81817588
203	286	0	2.83212725
204	288	0	2.84607861
205	289	0	2.86002998
206	290	0	2.87398134
207	292	0	2.88793271
208	293	0	2.90188408
209	294	0	2.91583544
210	296	0	2.92978681
211	297	0	2.94373817
212	299	0	2.95768954
213	300	0	2.9716409
214	301	0	2.98559227
215	303	0	2.99954364
216	304	0	3.013495
217	305	0	3.02744637
218	307	0	3.04139773
219	308	0	3.0553491
220	310	0	3.06930047
221	311	0	3.08325183
222	312	0	3.0972032
223	314	0	3.11115456
224	315	0	3.12510593
225	316	0	3.13905729
226	318	0	3.15300866
227	319	0	3.16696003
228	320	0	3.18091139
229	322	0	3.19486276
230	323	0	3.20881412
231	325	0	3.22276549
232	326	0	3.23671685
233	327	0	3.25066822
234	329	0	3.26461959
235	330	0	3.27857095
236	331	0	3.29252232
237	333	0	3.30647368
238	334	0	3.32042505
239	335	0	3.33437641
240	337	0	3.34832778
241	338	0	3.36227915
242	339	0	3.37623051
243	341	0	3.39018188
244	342	0	3.40413324
245	344	0	3.41808461
246	345	0	3.43203597
247	346	0	3.44598734
248	348	0	3.45993871
249	349	0	3.47389007
250	350	0	3.48784144
251	352	0	3.5017928
252	353	0	3.51574417
253	354	0	3.52969553
254	356	0	3.5436469
255	357	0	3.55759827
256	358	0	3.57154963
257	360	0	3.585501
258	361	0	3.59945236
259	362	0	3.61340373
260	364	0	3.6273551
261	365	0	3.64130646
262	367	0	3.65525783
263	368	0	3.66920919
264	369	0	3.68316056
265	371	0	3.69711192
266	372	0	3.71106329
267	373	0	3.72501466
268	375	0	3.73896602
269	376	0	3.75291739
270	378	0	3.76686875
271	379	0	3.78082012
272	380	0	3.79477148
273	382	0	3.80872285
274	383	0	3.82267422
275	384	0	3.83662558
276	386	0	3.85057695
277	387	0	3.86452831
278	388	0	3.87847968
279	390	0	3.89243104
280	391	0	3.90638241
281	392	0	3.92033378
282	394	0	3.93428514
283	395	0	3.94823651
284	397	0	3.96218787
285	398	0	3.97613924
286	399	0	3.9900906
287	401	0	4.00404197
